PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
5327.00,DL,Delta Air Lines Inc.,11032,CUN,14869,SLC,888,5
5327.00,NK,Spirit Air Lines,11032,CUN,13930,ORD,699,10
5327.00,UA,United Air Lines Inc.,11032,CUN,12264,IAD,839,4
5327.00,UA,United Air Lines Inc.,11618,EWR,12972,LHR,627,10
5328.00,DL,Delta Air Lines Inc.,11433,DTW,11760,FRA,696,6
5328.00,UA,United Air Lines Inc.,13518,MUC,11618,EWR,624,3
5329.00,DL,Delta Air Lines Inc.,10397,ATL,10292,AMS,359,10
5329.00,DL,Delta Air Lines Inc.,12478,JFK,13252,MEX,622,4
5330.00,DL,Delta Air Lines Inc.,10397,ATL,12277,ICN,359,2
5331.00,AA,American Airlines Inc.,11298,DFW,11244,CZM,614,5
5333.00,B6,JetBlue Airways,10721,BOS,11032,CUN,699,6
5333.00,HA,Hawaiian Airlines Inc.,15092,SYD,12173,HNL,696,9
5333.00,NK,Spirit Air Lines,12986,LIM,11697,FLL,722,7
5334.00,AA,American Airlines Inc.,14100,PHL,11032,CUN,721,1
5334.00,DL,Delta Air Lines Inc.,12478,JFK,12972,LHR,339,4
5335.00,AA,American Airlines Inc.,11244,CZM,11298,DFW,614,5
5335.00,DL,Delta Air Lines Inc.,10397,ATL,13156,MAD,626,10
5335.00,UA,United Air Lines Inc.,15258,TLV,14771,SFO,627,2
