PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
5200.00,AA,American Airlines Inc.,11057,CLT,13605,NAS,614,6
5200.00,NK,Spirit Air Lines,13218,MDE,11697,FLL,722,3
5201.00,UA,United Air Lines Inc.,14717,SCL,12266,IAH,626,4
5202.00,AA,American Airlines Inc.,12972,LHR,11298,DFW,627,9
5202.00,NK,Spirit Air Lines,11697,FLL,11164,CTG,699,9
5203.00,DL,Delta Air Lines Inc.,11032,CUN,12892,LAX,888,8
5203.00,NK,Spirit Air Lines,15923,XPL,11697,FLL,694,6
5203.00,UA,United Air Lines Inc.,11618,EWR,14286,PTY,888,2
5204.00,AA,American Airlines Inc.,14100,PHL,11032,CUN,699,4
5204.00,DL,Delta Air Lines Inc.,11433,DTW,11651,FCO,696,10
5206.00,AA,American Airlines Inc.,10394,ATH,12478,JFK,627,10
5206.00,DL,Delta Air Lines Inc.,10397,ATL,15455,UIO,622,9
5206.00,DL,Delta Air Lines Inc.,14293,PUJ,13487,MSP,888,3
5207.00,B6,JetBlue Airways,13180,MBJ,12478,JFK,721,1
5207.00,DL,Delta Air Lines Inc.,12478,JFK,10292,AMS,687,2
5207.00,UA,United Air Lines Inc.,12277,ICN,14771,SFO,637,1
5208.00,B6,JetBlue Airways,13180,MBJ,12478,JFK,721,3
5209.00,AA,American Airlines Inc.,16321,ZRH,14100,PHL,887,9
5209.00,DL,Delta Air Lines Inc.,10397,ATL,15566,VCE,626,10
5209.00,F9,Frontier Airlines Inc.,11032,CUN,13930,ORD,699,6
5209.00,MQ,Envoy Air,13514,MTY,11298,DFW,673,6
5210.00,B6,JetBlue Airways,12073,HAV,11697,FLL,694,8
5210.00,DL,Delta Air Lines Inc.,12478,JFK,10411,AUA,888,7
5211.00,B6,JetBlue Airways,14843,SJU,14739,SDQ,694,3
5212.00,AA,American Airlines Inc.,13303,MIA,14210,POS,838,2
5213.00,AA,American Airlines Inc.,11435,DUB,14100,PHL,887,5
5214.00,B6,JetBlue Airways,12051,GYE,12478,JFK,721,1
5214.00,DL,Delta Air Lines Inc.,10397,ATL,11760,FRA,696,10
5215.00,DL,Delta Air Lines Inc.,12478,JFK,16321,ZRH,626,9
5215.00,DL,Delta Air Lines Inc.,12991,LIS,12478,JFK,626,2
5216.00,AA,American Airlines Inc.,10411,AUA,13303,MIA,614,1
5216.00,DL,Delta Air Lines Inc.,10397,ATL,11874,GDL,888,10
5216.00,DL,Delta Air Lines Inc.,12478,JFK,13156,MAD,626,10
5216.00,UA,United Air Lines Inc.,11618,EWR,12972,LHR,627,1
5216.00,YV,Mesa Airlines Inc.,12264,IAD,16271,YYZ,673,9
5217.00,DL,Delta Air Lines Inc.,13043,LOS,10397,ATL,696,4
5217.00,UA,United Air Lines Inc.,12520,JNB,11618,EWR,889,1
5218.00,AA,American Airlines Inc.,12051,GYE,13303,MIA,838,3
5218.00,AA,American Airlines Inc.,12972,LHR,10721,BOS,627,5
5218.00,AS,Alaska Airlines Inc.,12892,LAX,11032,CUN,721,3
5218.00,DL,Delta Air Lines Inc.,13252,MEX,12478,JFK,622,5
5219.00,DL,Delta Air Lines Inc.,10411,AUA,10721,BOS,888,3
5219.00,DL,Delta Air Lines Inc.,11032,CUN,12892,LAX,888,7
5219.00,DL,Delta Air Lines Inc.,14869,SLC,11032,CUN,888,5
5219.00,HA,Hawaiian Airlines Inc.,12277,ICN,12173,HNL,696,5
5219.00,UA,United Air Lines Inc.,13180,MBJ,12266,IAH,888,6
5220.00,UA,United Air Lines Inc.,11032,CUN,11292,DEN,888,10
5221.00,B6,JetBlue Airways,11032,CUN,10721,BOS,699,4
5221.00,B6,JetBlue Airways,12478,JFK,15513,UVF,699,8
5222.00,AS,Alaska Airlines Inc.,12892,LAX,14832,SJD,888,4
5222.00,DL,Delta Air Lines Inc.,11651,FCO,10397,ATL,339,3
5222.00,UA,United Air Lines Inc.,10846,BZE,12266,IAH,614,10
5223.00,AA,American Airlines Inc.,14924,SNU,13303,MIA,614,9
5224.00,DL,Delta Air Lines Inc.,10721,BOS,11032,CUN,888,3
5224.00,NK,Spirit Air Lines,15923,XPL,11697,FLL,694,4
5225.00,F9,Frontier Airlines Inc.,14293,PUJ,13930,ORD,722,3
5225.00,UA,United Air Lines Inc.,12266,IAH,11915,GIG,626,8
5227.00,AA,American Airlines Inc.,11760,FRA,11057,CLT,627,1
5227.00,DL,Delta Air Lines Inc.,11433,DTW,11032,CUN,888,7
5228.00,DL,Delta Air Lines Inc.,11032,CUN,14869,SLC,888,7
5228.00,NK,Spirit Air Lines,12051,GYE,11697,FLL,722,9
5230.00,AS,Alaska Airlines Inc.,11032,CUN,14747,SEA,721,3
5230.00,B6,JetBlue Airways,12478,JFK,11888,GEO,721,10
